Sr No,State,Constituency,Candidate Name,Party Name,EVM Votes,Postal Votes,Total Votes,Percent Votes
14,Telangana,Parliamentary  Constituency  7 - Malkajgiri (Telangana) ,CHIRIPI REDDY RAMESH,Independent,986,1,987,0.05
15,Telangana,Parliamentary  Constituency  7 - Malkajgiri (Telangana) ,PEDDAPALLI SANDEEP,Bharathiya YuvaKula Dalam,930,3,933,0.05
16,Telangana,Parliamentary  Constituency  7 - Malkajgiri (Telangana) ,BOIN DURGA PRASAD YADAV,Dharma Samaj Party,778,11,789,0.04
17,Telangana,Parliamentary  Constituency  7 - Malkajgiri (Telangana) ,CHAMAKURA RAJAIAH ALIAS PIDIKILI RAJU,Social Justice Party of India,722,1,723,0.04
18,Telangana,Parliamentary  Constituency  7 - Malkajgiri (Telangana) ,NARRA SUKHENDER REDDY,Vidhyarthula Rajakiya Party,690,4,694,0.04
19,Telangana,Parliamentary  Constituency  7 - Malkajgiri (Telangana) ,KANTE SAYANNA,Independent,539,-,539,0.03
20,Telangana,Parliamentary  Constituency  7 - Malkajgiri (Telangana) ,JUVVA PHANI KUMAR CHOWDARY,Jai Bharat National Party,505,3,508,0.03
21,Telangana,Parliamentary  Constituency  7 - Malkajgiri (Telangana) ,YADISHWAR NAKKA,Telangana Republican Party,492,2,494,0.03
22,Telangana,Parliamentary  Constituency  7 - Malkajgiri (Telangana) ,R. SUBENDER SINGH,Independent,446,1,447,0.02
23,Telangana,Parliamentary  Constituency  7 - Malkajgiri (Telangana) ,NOTA,None of the Above,13206,160,13366,0.69
1,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,463777,7440,471217,33.99
2,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,NEELAM MADHU,Indian National Congress,427899,4179,432078,31.17
3,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,P. VENKATRAMA REDDY,Bharat Rashtra Samithi,395250,1540,396790,28.62
4,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,17191,25,17216,1.24
5,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,SARA YADAGIRI GOUD,Praja Velugu Party,11056,4,11060,0.8
6,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,BODAPATLA ESHWAR,Bahujan Samaj Party,7423,40,7463,0.54
7,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,DUBALA SRI SAILAM,Independent,5161,5,5166,0.37
8,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,ADLA KUMAR,Independent,5113,3,5116,0.37
9,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,BANDAPALLY SRINIVAS,Socialist Unity Centre Of India (COMMUNIST),2366,-,2366,0.17
10,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,ANIL GOUD,Bharat Jodo Party,2128,4,2132,0.15
11,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,ABHILASH CHELIMELA,Independent,2031,-,2031,0.15
12,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,ATI ANJANEYULU,Independent,2029,9,2038,0.15
13,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,MAISANGARI SUNIL,India Praja Bandhu Party,2009,2,2011,0.15
14,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,PRADEEP,Independent,2006,4,2010,0.14
15,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,INDRAGOUD SILIVERI,National Nava Kranthi Party,1773,1,1774,0.13
16,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,NAGAMANI ACHA,Independent,1538,2,1540,0.11
17,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,A. KRANTHI KUMAR,Independent,1465,2,1467,0.11
18,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,MAREPALLY LAXMINARAYANA,Independent,1411,3,1414,0.1
19,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,BALESH UPPARI,Independent,1390,3,1393,0.1
20,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,VENKATESH BEJUGAM,Independent,1263,1,1264,0.09
21,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,BOMMALA VIJAY KUMAR,Independent,1194,2,1196,0.09
22,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,ANNELA LAXMAN,Dharma Samaj Party,1143,9,1152,0.08
23,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,ABHILASH SHIRNA,Independent,923,1,924,0.07
24,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,DODLA VENKAT,Telangana Praja Shakthi Party,915,2,917,0.07
25,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,ABISHEK GOUD THABETI,Jana Shankhaaraavam Party,792,5,797,0.06
26,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,MEDI SRINIVAS REDDI,Independent,791,2,793,0.06
27,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,VUTLA RAMESH,Independent,778,-,778,0.06
28,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,D. NARAHARI,Independent,674,1,675,0.05
29,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,GOLLAPALLY SAYA GOUD,Pyramid Party of India,656,2,658,0.05
30,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,SATYANARAYANA GOUD KOVURI,Independent,607,-,607,0.04
31,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,DASARI BHANUCHANDER,Independent,573,2,575,0.04
32,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,DADIGE RAJENDAR,Independent,556,3,559,0.04
33,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,C.H. NAVEEN KUMAR,Independent,529,2,531,0.04
34,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,KONDI ASHOK,Independent,509,-,509,0.04
35,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,URELLI YELLAIAH,Viduthalai Chiruthaigal Katchi,492,2,494,0.04
36,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,GONDHI BHUJANGAMU,Independent,430,1,431,0.03
37,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,MOHD AZHER,Independent,414,2,416,0.03
38,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,S RAJESH SAGAR,Independent,348,-,348,0.03
39,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,KASOJU SRIKANTH,Independent,344,-,344,0.02
40,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,K. LAXMINARAYANA,Independent,317,-,317,0.02
41,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,KOLKUR PRATAP,Independent,292,1,293,0.02
42,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,GADILA ANJANEYULU,Independent,289,1,290,0.02
43,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,GOUTI MALLESH,Independent,247,1,248,0.02
44,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,K.RAGHU,Independent,222,2,224,0.02
45,Telangana,Parliamentary  Constituency  6 - Medak (Telangana) ,NOTA,None of the Above,4582,35,4617,0.33
1,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,DR.MALLU RAVI,Indian National Congress,459259,5813,465072,38.14
2,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,BHARATH  PRASAD POTHUGANTI,Bharatiya Janata Party,364898,5760,370658,30.4
3,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,DR.R.S.PRAVEEN KUMAR,Bharat Rashtra Samithi,319216,2127,321343,26.36
4,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,AMBOJU RAVI,Alliance of Democratic Reforms Party,12544,10,12554,1.03
5,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,BESAMOLLA  YOSEF,Bahujan Samaj Party,7138,80,7218,0.59
6,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,PILLELA SRIKANTH,Independent,6403,1,6404,0.53
7,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,BUDDHULA SRINIVAS,Independent,4358,3,4361,0.36
8,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,PALADHI NAGARAJU,Independent,4056,2,4058,0.33
9,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,AMARNATH,India Praja Bandhu Party,3703,6,3709,0.3
10,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,PULJALA BALAIAH,Independent,3582,2,3584,0.29
11,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,GALIMUDI GEETHA,Independent,3145,2,3147,0.26
12,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,KARNE. SHIREESHA @ BARRELAKKA,Independent,3037,50,3087,0.25
13,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,PAKIRA RAMULU,Independent,2833,6,2839,0.23
14,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,BIKSHAPATHI LANDA,Independent,1980,1,1981,0.16
15,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,AYYAPPA SUNIL,Rashtriya Praja Congress  (Secular),1224,3,1227,0.1
16,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,GADDAM VIJAY,Bahujan Mukti Party,1006,3,1009,0.08
17,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,PRASANGI,Pyramid Party of India,892,-,892,0.07
18,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,VAGGU VINAY,Vidhyarthula Rajakiya Party,768,2,770,0.06
19,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,DASARI BHARATHI,Viduthalai Chiruthaigal Katchi,722,8,730,0.06
20,Telangana,Parliamentary  Constituency  12 - Nagarkurnool (Telangana) ,NOTA,None of the Above,4511,69,4580,0.38
1,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,KUNDURU RAGHUVEER,Indian National Congress,772264,12073,784337,60.5
2,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,SAIDI REDDY SHANAMPUDI,Bharatiya Janata Party,219606,4826,224432,17.31
3,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,KANCHARLA KRISHNA REDDY,Bharat Rashtra Samithi,216681,1736,218417,16.85
4,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,JANAIAH NANDIPATI,Telangana Sakalajanula Party,10832,27,10859,0.84
5,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,NAGARAJU BANDARU,Independent,7122,6,7128,0.55
6,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,ANJAIAH VIRIGINENI,Bahujan Samaj Party,7075,102,7177,0.55
7,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,MARAM VENKAT REDDY,Independent,5962,5,5967,0.46
8,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,PANUGOTU LALASINGH,Independent,5277,9,5286,0.41
9,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,THALARI RAMBABU,Dharma Samaj Party,5028,94,5122,0.4
10,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,RAMESH SUNKARA,Independent,3566,3,3569,0.28
11,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,POLISHETTY VENKATESHWARLU,Independent,3202,10,3212,0.25
12,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,KUKKALA VENKANNA,Independent,2561,5,2566,0.2
13,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,CHOLLETI PRABHAKAR,Independent,2482,22,2504,0.19
14,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,GOLI SAIDULU,Independent,1770,9,1779,0.14
15,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,MARRI NEHEMIAH,Independent,1653,9,1662,0.13
16,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,RAVI PALAKURI,Independent,1545,2,1547,0.12
17,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,VASKULA MATTAIAH,Marxist Communist Party of India (United),1033,7,1040,0.08
18,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,KUNDARAPU SRIKANTH,Independent,940,7,947,0.07
19,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,RACHA SUBHADRA REDDY,Socialist Party (India),835,11,846,0.07
20,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,LINGAM KRISHNA,Independent,666,-,666,0.05
21,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,KINNERA YADAIAH,Independent,654,7,661,0.05
22,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,SHIRISHALA SRINAIAH,Independent,513,1,514,0.04
23,Telangana,Parliamentary  Constituency  13 - Nalgonda (Telangana) ,NOTA,None of the Above,5869,217,6086,0.47
1,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,ARVIND DHARMAPURI,Bharatiya Janata Party,588244,4074,592318,48.02
2,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,JEEVANREDDY THATIPARTHI,Indian National Congress,480501,2576,483077,39.16
3,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,GOVERDHAN BAJIREDDY,Bharat Rashtra Samithi,101929,477,102406,8.3
4,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,GANTA CHARITHA RAO,Independent,5707,3,5710,0.46
5,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,YOUGENDAR GATLA,Alliance of Democratic Reforms Party,5439,14,5453,0.44
6,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,KOTAGIRI SRINIVAS,Independent,5308,4,5312,0.43
7,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,PUPPALA LIMBADRI,Bahujan Samaj Party,4220,43,4263,0.35
8,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,TUTUKURU JEEVAN REDDY,Independent,4085,6,4091,0.33
9,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,KANDELA SUMAN,Dharma Samaj Party,3842,44,3886,0.32
10,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,GOLI. NARESH,Dalita Bahujana Party,3017,7,3024,0.25
11,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,ARE RAJENDHAR,Independent,2906,1,2907,0.24
12,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,KOTHAKONDA SHAKTI PRASAD,Independent,2103,3,2106,0.17
13,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,VEMULAA VIKRAM REDDY,Independent,2073,1,2074,0.17
14,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,GOPI CHENDRIAH,Independent,1721,2,1723,0.14
15,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,ALI MANSOOR,Anna YSR Congress Party,1454,14,1468,0.12
16,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,GUYYA SAIKRISHNA MURTHY,Yuga Thulasi Party,1123,6,1129,0.09
17,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,SYED ASGAR,Independent,1046,2,1048,0.08
18,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,MALAVAT VITHAL,Independent,919,-,919,0.07
19,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,MOGILI RAJKUMAR,India Praja Bandhu Party,825,5,830,0.07
20,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,RAPELLY SRINIVAS,Independent,791,2,793,0.06
21,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,DESHABOINA LAXMINARAYANA,Independent,723,-,723,0.06
22,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,ABBAGONI ASHOK GOUD,Bahujana Left Party,641,8,649,0.05
23,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,DEVATHI SRINIVAS,Bahujan Mukti Party,624,12,636,0.05
24,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,B B NAIK,Independent,581,-,581,0.05
25,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,BHUKYA. NANDU,Vidhyarthula Rajakiya Party,574,6,580,0.05
26,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,RAPALLY SATYANARAYANA,Independent,425,1,426,0.03
27,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,RAGI ANIL,Independent,367,8,375,0.03
28,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,PALAMURI SAI NIKHIL,Independent,303,4,307,0.02
29,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,PRASHANTH KATRAJI,Independent,284,-,284,0.02
30,Telangana,Parliamentary  Constituency  4 - Nizamabad (Telangana) ,NOTA,None of the Above,4440,43,4483,0.36
1,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,VAMSI KRISHNA GADDAM,Indian National Congress,470180,5407,475587,43.42
2,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,SRINIVAS GOMASE,Bharatiya Janata Party,339107,5116,344223,31.43
3,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,ESHWAR KOPPULA,Bharat Rashtra Samithi,191891,1465,193356,17.65
4,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,ERUKULLA RAJA NARSAIAH,Bahujan Samaj Party,6730,69,6799,0.62
5,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,VENUGOPAL MOYYI,Bahujan Mukti Party,5220,3,5223,0.48
6,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,MOTHE NARESH,Peoples Party of India (Democratic),4998,9,5007,0.46
7,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,RAMESH MANDA,Dharma Samaj Party,4314,20,4334,0.4
8,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,AMBOJU SUMALATHA,Alliance of Democratic Reforms Party,3770,13,3783,0.35
9,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,DURGAM RAMULU,Independent,3432,2,3434,0.31
10,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,MULKALLA RAJENDRAPRASAD,Independent,2786,3,2789,0.25
11,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,RAMCHANDAR NICHHAKOLA,Dalita Bahujana Party,2589,40,2629,0.24
12,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,KANDI CHANDU,Rashtriya Manav Party,2409,1,2410,0.22
13,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,RAMULA KARTHIK,Independent,2284,4,2288,0.21
14,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,MOLUGU VENKATESH,New India Party,2234,35,2269,0.21
15,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,ERUGURALA BHAGYALAXMI,Pyramid Party of India,2113,12,2125,0.19
16,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,GADDAM MARUTHI,Independent,2073,8,2081,0.19
17,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,NAVEEN NUKALA,Independent,2057,10,2067,0.19
18,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,MEKALA AKSHAY KUMAR,Independent,1899,3,1902,0.17
19,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,KATKURI SANDEEP,Independent,1867,5,1872,0.17
20,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,BOTLA CHANDRAIAH,Independent,1744,3,1747,0.16
21,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,ERIKILLA RAJESH,Independent,1731,3,1734,0.16
22,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,AKKAPAKA THIRUPATHI,Independent,1662,7,1669,0.15
23,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,DURGAM SANTHOSH,Prajarajya Samithi,1576,38,1614,0.15
24,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,MAMIDIPALLY BAPAIAH,Independent,1501,3,1504,0.14
25,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,DUDA MAHIPAL,Independent,1495,1,1496,0.14
26,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,BOODIDHA THIRUPATHI,Independent,1392,1,1393,0.13
27,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,DAGAM SRINIVAS,Independent,1384,4,1388,0.13
28,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,KADASI SHEKHAR,Independent,1266,6,1272,0.12
29,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,DR VASARLA NATHANIAL,Independent,1195,22,1217,0.11
30,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,AARNAKONDA RAJU,Independent,1160,7,1167,0.11
31,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,NARESH JANAGAMA,Independent,1117,6,1123,0.1
32,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,CHILUKA ANAND,Yuva Taram Party,1089,4,1093,0.1
33,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,TALLAPALLY NARESH,Independent,967,1,968,0.09
34,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,KURMA MAHENDER,Independent,863,2,865,0.08
35,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,CHANDANAGIRI SHRINIVAS,Independent,766,-,766,0.07
36,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,KASHI SATHISH KUMAR,Anti Corruption Dynamic Party,745,6,751,0.07
37,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,KANAKAIAH MULKALA,Socialist Party (India),709,11,720,0.07
38,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,SRINIVAS PANTHUKALA,Independent,701,2,703,0.06
39,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,KONKATI LINGA MURTHI,Independent,659,2,661,0.06
40,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,JUPAKA KIRAN,Independent,649,4,653,0.06
41,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,RAJKUMAR DURGAM,Independent,478,1,479,0.04
42,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,RAJESHAM RACHARLA,Independent,422,1,423,0.04
43,Telangana,Parliamentary  Constituency  2 - Peddapalle  (Telangana) ,NOTA,None of the Above,5591,120,5711,0.52
1,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,G. KISHAN REDDY,Bharatiya Janata Party,468311,4701,473012,45.15
2,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,DANAM NAGENDER,Indian National Congress,420220,2848,423068,40.38
3,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,PADMA RAO . T,Bharat Rashtra Samithi,128680,906,129586,12.37
4,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,DR.  BASWANANDAM DANDEPU,Bahujan Samaj Party,2248,20,2268,0.22
5,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,SARARAPU SRISAILAM,Telangana Rajya Samithi,1726,1,1727,0.16
6,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,SAPAVAT SUMAN,Independent,996,-,996,0.1
7,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,R.S.J. THOMAS,Jai Swaraj Party,971,3,974,0.09
8,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,RAASALA VINOD KUMAR,Dharma Samaj Party,820,6,826,0.08
9,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,KOLISETTY SHIVA KUMAR,Yuga Thulasi Party,678,1,679,0.06
10,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,MACHCHERLA VENKATA REDDY,Independent,672,1,673,0.06
11,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,MOHAMMED AKRAM ALI KHAN,Independent,596,1,597,0.06
12,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,MOHAMMED RAFIUDDIN KALEEM,All India Majlis-E-Inquilab-E-Millat,478,6,484,0.05
13,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,LUNAVATH HARI RAM,Independent,474,-,474,0.05
14,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,BOGGULA SUNIITHHA,Independent,417,1,418,0.04
15,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,MOHAMMED AYUB ALI,Anna YSR Congress Party,406,4,410,0.04
16,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,MOHAMMED FASI UDDIN,Independent,341,1,342,0.03
17,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,PULIMAMIDI VENKATESH GUPTA,Independent,340,-,340,0.03
18,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,IBRAHIM KHAN,Independent,315,5,320,0.03
19,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,ANDRAPU SUDARSHAN,Independent,312,3,315,0.03
20,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,JUNAID ANAM SIDDIQUI,Independent,294,1,295,0.03
21,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,KRANTHI KUMAR BANDELA,Indian National Yuva Jana Party,283,2,285,0.03
22,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,DR. R. GANGADHAR,Socialist Unity Centre Of India (COMMUNIST),280,1,281,0.03
23,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,UTTAM PRAVEEN KUMAR,Independent,273,1,274,0.03
24,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,GOWLIKAR SONY,Social Justice Party of India,269,3,272,0.03
25,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,BATHULA RAVI,Independent,252,-,252,0.02
26,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,P C LINGANNA,Independent,243,-,243,0.02
27,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,MOHAMMED IBRAHIM AHMED,Independent,240,2,242,0.02
28,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,SANGALA FLORY,Independent,223,-,223,0.02
29,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,MOHAMMED ABDUL AZEEM,Independent,220,1,221,0.02
30,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,GANESH BHARGAVI GUNDE,Jai Bharat National Party,220,3,223,0.02
31,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,V. K. VIJAYA LAKSHMI,Independent,213,3,216,0.02
32,Telangana,Parliamentary  Constituency  8 - Secunderabad (Telangana) ,CHEEKATI BHUPAL GOUD,All India Backward People Sunami Party,209,1,210,0.02
